route_id,type,hdbscan_cluster,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,detected_global,detected_per_cluster,cluster_threshold
200607-AT3,normal,5,0.11408438542821085,0.11468293674499452,0.016739135792208683,0.08512023106412368,정상,False,False,0.16363088673447765
200607-AT4,normal,-1,0.4204050791704317,0.156153795895006,0.20181885153132012,0.24912869756852793,정상,False,False,0.7586748739889994
200610-dna-midd,normal,5,0.1311525420010236,0.14824935894725777,0.004713891803847439,0.10005967372036442,정상,False,False,0.16363088673447765
200610-dna-serial1,normal,-1,0.35947944553117367,0.13610839779243034,0.16261566572501232,0.21107189249382796,정상,False,False,0.7586748739889994
200610-dna-serial7,normal,5,0.13177609358074063,0.09667794143810493,0.004166001459438959,0.07945380508729585,정상,False,False,0.16363088673447765
200610-dna-serial8,normal,-1,0.11948475188699448,0.06525919307686989,0.15059180205690856,0.10712664341391887,정상,False,False,0.7586748739889994
200610-dna-serial9,normal,-1,0.43078575987879836,0.23784259869876068,0.15411353780062478,0.2706068287833312,정상,False,False,0.7586748739889994
200612-DNA-SWARM-1,normal,-1,0.12252256472511001,0.23356166938061185,0.21150811657458526,0.19363387214215333,정상,False,False,0.7586748739889994
200612-DNA-SWARM-10,normal,-1,0.5736646276187198,0.5512356621788805,0.36984175965436383,0.5035461810534773,이상,False,False,0.7586748739889994
200612-DNA-SWARM-2,normal,-1,0.33536376918576044,0.40871127841689037,0.26612547309312956,0.3439312840504231,주의,False,False,0.7586748739889994
200612-DNA-SWARM-3,normal,-1,0.2891950360172879,0.4318873635836783,0.39294866093604475,0.37739805451947117,주의,False,False,0.7586748739889994
200612-DNA-SWARM-4,normal,-1,0.5002540116994861,0.5254271437387877,0.3365505429147042,0.46121222387977223,주의,False,False,0.7586748739889994
200612-DNA-SWARM-5,normal,-1,0.4551152122624598,0.48431139213495833,0.34026610875091545,0.432338953157996,주의,False,False,0.7586748739889994
200612-DNA-SWARM-6,normal,-1,0.266412519371874,0.4186330257733416,0.28296611325516047,0.33226680009744697,주의,False,False,0.7586748739889994
200612-DNA-SWARM-7,normal,-1,0.2701516821415753,0.4362764795034838,0.3083920543254963,0.348073712741515,주의,False,False,0.7586748739889994
200612-DNA-SWARM-8,normal,-1,0.2586116406873332,0.36351281926288326,0.30092285346783426,0.31326547595170356,주의,False,False,0.7586748739889994
200612-DNA-SWARM-9,normal,-1,0.38061349164476005,0.3836367766459955,0.3176498455528234,0.36293371181767325,주의,False,False,0.7586748739889994
200612-DNA-SWARMLg,normal,6,0.3860552262879852,0.1609288403483572,0.06690312488488144,0.20025904149120285,정상,False,False,0.2500212818266508
200614-seung_test,normal,-1,0.18174389301047353,0.21828147697684497,0.262188262065236,0.22049223731345086,정상,False,False,0.7586748739889994
200615-doosan,normal,-1,0.5064946304479531,0.27584099379880866,0.19276758564757307,0.32011506234818127,주의,False,False,0.7586748739889994
200615-doosan_test,normal,-1,0.37643918165484125,0.13392212986226737,0.14198805081123664,0.20909702168473032,정상,False,False,0.7586748739889994
200616-doosantest1,normal,-1,0.2734050348663544,0.26677502142089704,0.1321264631290654,0.22836945796698477,정상,False,False,0.7586748739889994
200628-ye-a,normal,-1,0.28641039990200323,0.28434949720660463,0.32261591608869533,0.2964476936798514,정상,False,False,0.7586748739889994
200628-ye-b,normal,-1,0.3517447521852384,0.26858474654740017,0.22345250322386015,0.2799930752416896,정상,False,False,0.7586748739889994
200628-ye-c,normal,1,0.415193125072644,0.5078102718520237,0.4818705531730848,0.47224321221452814,주의,False,False,0.5966923701350243
200628-ye-d,normal,-1,0.47400200103691703,0.6089910618534045,0.6343073160798425,0.5760892198763896,이상,False,False,0.7586748739889994
200628-ye-e,normal,-1,0.656718500195025,0.6585983658711769,0.6587290661986799,0.6580736162665822,이상,False,False,0.7586748739889994
200702-sd-circle,normal,-1,0.39621361151245355,0.5258033355215082,0.5349048365112767,0.48965686861572233,주의,False,False,0.7586748739889994
200702-sd-circle2,normal,-1,0.23300251999845123,0.3041165066323117,0.3043943226020749,0.2828656554330825,정상,False,False,0.7586748739889994
200702-yed-grid,normal,-1,0.7331352353030614,0.6550662319562748,0.6054081635022697,0.6635895124241092,이상,False,False,0.7586748739889994
200703-sd-grid,normal,-1,0.779240017116657,0.7735048538505039,0.8183203977064446,0.7886700659871321,심각,True,True,0.7586748739889994
201104-lte-test1,normal,8,0.08863172670107226,0.059810784041687826,0.008759895803905621,0.0531418003681685,정상,False,False,0.1409202472062483
201104-lte-test2,normal,-1,0.5709967607350935,0.39215023331909327,0.1054103645018183,0.35978223089871086,주의,False,False,0.7586748739889994
201104-survey-1,normal,-1,0.29121097600816825,0.1912570872663354,0.15142788469876972,0.20929449311861553,정상,False,False,0.7586748739889994
201105-LTE-mission-1,normal,5,0.09770030152305689,0.0013193071189556704,0.0018519001379634506,0.030393383345888373,정상,False,False,0.16363088673447765
201109-dmi-bears-test1,normal,9,0.2664863405422391,0.2305778585653282,0.02576440351585598,0.1799063666435598,정상,False,False,0.2437569071975772
201109-dmi-bears-test2,normal,8,0.041120804515695,0.04001781642800739,0.009318689252315129,0.031138974701605992,정상,False,False,0.1409202472062483
201109-dmi-bears-test3,normal,-1,0.2465258170316199,0.15476625928515242,0.07869409644830752,0.1594724777580392,정상,False,False,0.7586748739889994
201110-DROW-test1,normal,8,0.07375242106458281,0.09895723103672405,0.030195722233549722,0.07076733540412938,정상,False,False,0.1409202472062483
201111-clrobur-survey-test,normal,-1,0.13224544376756686,0.12526470596855632,0.08277791778234554,0.11461289085239625,정상,False,False,0.7586748739889994
201122-timetest1,normal,8,0.043374180513916595,0.06338999969029624,0.009906049534652323,0.04134006889068917,정상,False,False,0.1409202472062483
201209-LTE-real-waypoint1,normal,8,0.1497350361016603,0.15563036371378647,0.019547186833415713,0.1130368123660374,정상,False,False,0.1409202472062483
201211-LTE-real-waypoint1,normal,5,0.18117512734345828,0.24383568932756228,0.01500969715775555,0.15638972308138907,정상,False,False,0.16363088673447765
201211-LTE-real-waypoint2,normal,5,0.13134961980420254,0.13121276056632625,0.005886946830622864,0.09365607421697812,정상,False,False,0.16363088673447765
201213-demo-vehicle1,normal,-1,0.3493298494743305,0.1932106754316334,0.1745364091275505,0.23444414775321765,정상,False,False,0.7586748739889994
201213-demo-vehicle2,normal,-1,0.1805577245560462,0.3060266074189455,0.2932768839022379,0.26456102550506344,정상,False,False,0.7586748739889994
201213-demo-vehicle3,normal,-1,0.23706332928669438,0.17180537408910035,0.14329932157483077,0.18283094489409768,정상,False,False,0.7586748739889994
