wp_count,total_distance_m,avg_distance_m,max_distance_m,avg_bearing_change,max_bearing_change,avg_altitude_m,start_lat,start_lng,end_lat,end_lng,centroid_lat,centroid_lng,route_id,start_place,end_place,centroid_place
65,8247.45,128.87,129.39,5.62,5.92,100.0,37.536869049072266,126.92619323730467,37.536869049072266,126.92619323730467,37.525241,126.926197,200628-ye-d,대한민국 서울특별시 영등포구 국회대로,대한민국 서울특별시 영등포구 국회대로,대한민국 서울특별시 영등포구 국제금융로2길 24
65,8247.45,128.87,129.39,5.62,5.92,400.0,37.536869049072266,126.92619323730467,37.536869049072266,126.92619323730467,37.525241,126.926197,200628-ye-e,대한민국 서울특별시 영등포구 국회대로,대한민국 서울특별시 영등포구 국회대로,대한민국 서울특별시 영등포구 국제금융로2길 24
65,7239.26,113.11,113.59,5.63,6.14,300.0,37.399051666259766,126.6454849243164,37.399051666259766,126.6454849243164,37.388844,126.645483,200702-sd-circle,대한민국 인천광역시 연수구 신송로,대한민국 인천광역시 연수구 신송로,대한민국 인천광역시 연수구 센트럴로 123
28,20088.26,744.01,1678.21,90.0,159.59,228.57,37.383338928222656,126.6522445678711,37.39606094360352,126.64306640625,37.388955,126.645551,200702-sd-circle2,대한민국 인천광역시 연수구 갯벌로 3,대한민국 인천광역시 연수구 해돋이로 167,대한민국 인천광역시 연수구 센트럴로 123
52,31516.93,617.98,1143.84,90.0,170.58,400.0,37.5156364440918,126.9311752319336,37.524505615234375,126.91342163085938,37.524221,126.925964,200702-yed-grid,대한민국 서울특별시 영등포구 올림픽대로,대한민국 서울특별시 영등포구 신월여의지하도로,대한민국 서울특별시 영등포구 여의나루로 67-8
50,19764.9,403.37,728.77,90.0,91.62,400.0,37.38436508178711,126.6386947631836,37.39083480834961,126.6561050415039,37.387599,126.6474,200703-sd-grid,대한민국 인천광역시 연수구 컨벤시아대로 233,대한민국 인천광역시 연수구 해돋이로84번길 30,대한민국 인천광역시 연수구 하모니로
6,111.71,22.34,27.38,90.84,97.21,5.0,37.345664978027344,126.95358276367188,37.34589385986328,126.95325469970705,37.345781,126.95342,201104-lte-test2,대한민국 경기도 군포시 고산로151번길 26-24,대한민국 경기도 군포시 한세로44번길 13,대한민국 경기도 군포시 한세로44번길 13
14,239.21,18.4,31.7,90.0,95.34,5.0,37.34567642211914,126.95365142822266,37.346073150634766,126.95350646972656,37.345875,126.953469,201104-survey-1,대한민국 경기도 군포시 고산로151번길 26-24,대한민국 경기도 군포시 한세로44번길 13,대한민국 경기도 군포시 한세로44번길 13
6,281.52,56.3,76.29,67.34,96.79,10.0,37.33170700073242,127.45804595947266,37.331600189208984,127.4581298828125,37.331457,127.457812,201109-dmi-bears-test1,대한민국 경기도 이천시 원적로686번길,대한민국 경기도 이천시 원적로686번길,대한민국 경기도 이천시 원적로686번길
8,285.03,40.72,81.09,90.4,180.0,10.0,37.33173751831055,127.45809936523438,37.33170318603515,127.45795440673828,37.331489,127.457771,201109-dmi-bears-test3,대한민국 경기도 이천시 원적로686번길,대한민국 경기도 이천시 원적로686번길,대한민국 경기도 이천시 원적로686번길
