route_id,type,hdbscan_cluster,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,detected_global,detected_per_cluster,cluster_threshold
200607-AT3,normal,-1,0.030260461200940482,0.0584131921195169,0.002982376005224993,0.0333381280096564,정상,False,False,0.5278583191670891
200607-AT4,normal,0,0.21121314711476474,0.9585362857152475,1.0,0.7467784584205284,심각,True,False,0.8304628670621517
200610-dna-midd,normal,2,1.0,0.8941236628956301,0.6170431961129795,0.842762423992146,심각,True,True,0.8409754197636521
200610-dna-serial1,normal,2,1.0,0.8820513216371154,0.6099231223705277,0.8357974653660045,심각,True,False,0.8409754197636521
200610-dna-serial7,normal,2,1.0,0.8627404738526652,0.44283839358750293,0.7779477076173169,심각,True,False,0.8409754197636521
200610-dna-serial8,normal,2,1.0,0.8573052512240074,0.37224652553485166,0.7545960581500585,심각,True,False,0.8409754197636521
200610-dna-serial9,normal,2,1.0,0.8694730594052544,0.4765079038160816,0.7907415949069263,심각,True,False,0.8409754197636521
200612-DNA-SWARM-1,normal,2,0.9243968880054118,0.7153328653684498,0.3345431601762663,0.6638151606018833,이상,True,False,0.8409754197636521
200612-DNA-SWARM-10,normal,2,0.8994928023960433,0.7126453981352547,0.35047474696862946,0.6600484240635037,이상,True,False,0.8409754197636521
200612-DNA-SWARM-2,normal,2,0.9288758328881407,0.7215659366329001,0.3290738105479608,0.6660112676839904,이상,True,False,0.8409754197636521
200612-DNA-SWARM-3,normal,2,0.9333902258667118,0.7339090269760955,0.3243333847698582,0.6708806939814093,이상,True,False,0.8409754197636521
200612-DNA-SWARM-4,normal,2,0.9374336918463464,0.738574400469378,0.3203993601597589,0.6727796757895828,이상,True,False,0.8409754197636521
200612-DNA-SWARM-5,normal,2,0.9420586934757366,0.7423589352396953,0.3161177553982702,0.6743965087580801,이상,True,False,0.8409754197636521
200612-DNA-SWARM-6,normal,2,0.9156001028713517,0.7249288300630615,0.33183029821641297,0.6642006523515541,이상,True,False,0.8409754197636521
200612-DNA-SWARM-7,normal,2,0.9108336200385094,0.7249288300630615,0.3366116807644296,0.6642051222661064,이상,True,False,0.8409754197636521
200612-DNA-SWARM-8,normal,2,0.9070346224521421,0.7138885071559655,0.3407216255773763,0.6598822772712417,이상,True,False,0.8409754197636521
200612-DNA-SWARM-9,normal,2,0.9028522685621178,0.7126453981352547,0.3455412955301493,0.659576228481782,이상,True,False,0.8409754197636521
200612-DNA-SWARMLg,normal,2,1.0,0.8244741805227447,0.35250230829335405,0.735540364697104,심각,True,False,0.8409754197636521
200614-seung_test,normal,-1,0.031559616937687045,0.07823464080745834,0.027308073996487367,0.048954163603235665,정상,False,False,0.5278583191670891
200615-doosan,normal,-1,0.04210142642599689,0.14308380901624396,0.02494160139744635,0.07734643195353055,정상,False,False,0.5278583191670891
200615-doosan_test,normal,-1,0.062043857264204645,0.16595393373577283,0.03644331985321717,0.09592772662953568,정상,False,False,0.5278583191670891
200616-doosantest1,normal,48,0.03812262541533271,0.13207803569712107,0.02019189707770315,0.0703255710267592,정상,False,False,0.07366833152294659
200628-ye-a,normal,-1,0.36650464349104955,0.6188226770778144,0.13464767329449187,0.39787476586678816,주의,False,False,0.5278583191670891
200628-ye-b,normal,-1,0.21863773315984375,0.3262449530413406,0.10272448976063951,0.2269066480926812,정상,False,False,0.5278583191670891
200628-ye-c,normal,-1,0.2325984886940014,0.43555589422747876,0.12332565591328717,0.2809996010731781,정상,False,False,0.5278583191670891
200628-ye-d,normal,-1,0.08995322423254871,0.19577116121402827,0.036835727752672326,0.11634515008117761,정상,False,False,0.5278583191670891
200628-ye-e,normal,-1,0.619320261080727,0.7155005704009387,0.555630287241313,0.6386853926569874,이상,True,True,0.5278583191670891
200702-sd-circle,normal,17,0.5025927739260829,0.6140334110371655,0.0054919756381628755,0.39803878928413994,주의,False,False,0.4216038446488061
200702-sd-circle2,normal,-1,0.410001427168861,0.47242364399239034,0.09483965330507574,0.3404217817391372,주의,False,False,0.5278583191670891
200702-yed-grid,normal,-1,0.6228918851119922,0.7325254066285979,0.5687361706048755,0.6504985793664995,이상,True,True,0.5278583191670891
200703-sd-grid,normal,-1,0.7720880306556424,0.7541767725256995,0.6050249864073373,0.7148046141291737,심각,True,True,0.5278583191670891
201104-lte-test1,normal,45,0.0331241943877082,0.0882951454103883,0.005689759185797089,0.04696224423620691,정상,False,False,0.05576352263386098
201104-lte-test2,normal,45,0.04035795830456478,0.09472820537562832,0.010333792478924075,0.053098807385297986,정상,False,False,0.05576352263386098
201104-survey-1,normal,45,0.038628826827764064,0.1046198327970409,0.011985634847203013,0.05703227162130649,정상,False,True,0.05576352263386098
201105-LTE-mission-1,normal,45,0.037964066388921434,0.10117758866960147,0.00653276106995157,0.05382008370550249,정상,False,False,0.05576352263386098
201109-dmi-bears-test1,normal,16,0.11720353218210233,0.2605759583660511,0.06103853474541862,0.15770300342467672,정상,False,False,0.19072697241898579
201109-dmi-bears-test2,normal,16,0.11743463012451326,0.2599110014210606,0.05788386125965691,0.15655994798367528,정상,False,False,0.19072697241898579
201109-dmi-bears-test3,normal,16,0.11772400841634878,0.2704884473688186,0.06371089649388707,0.1626258504205982,정상,False,False,0.19072697241898579
201110-DROW-test1,normal,45,0.03940497466678428,0.10229568617817097,0.0072597436808676565,0.054917689975563976,정상,False,False,0.05576352263386098
201111-clrobur-survey-test,normal,45,0.02408515639156459,0.05796974844306313,0.013886045472455413,0.03457925993643125,정상,False,False,0.05576352263386098
201122-timetest1,normal,50,0.037621103791046925,0.09895880635240006,0.010241255555629108,0.053942230344962844,정상,False,False,0.0621770438620271
201209-LTE-real-waypoint1,normal,45,0.03937778960594144,0.10229568617817097,0.00718014215734137,0.054885654000253234,정상,False,False,0.05576352263386098
201211-LTE-real-waypoint1,normal,45,0.031534125098858966,0.07806731749317286,0.0066304600673521,0.042676302547132464,정상,False,False,0.05576352263386098
201211-LTE-real-waypoint2,normal,45,0.03155064683804789,0.07806731749317286,0.0066127298871745685,0.042675940014835885,정상,False,False,0.05576352263386098
201213-demo-vehicle1,normal,-1,0.031072497142768267,0.0615358961312189,0.0014410319397014785,0.03436841717722849,정상,False,False,0.5278583191670891
201213-demo-vehicle2,normal,-1,0.03215010447550377,0.11673656058202009,0.009948469991383815,0.05932419657287431,정상,False,False,0.5278583191670891
201213-demo-vehicle3,normal,-1,0.03156994562153069,0.02865054125192268,0.0007279555632831777,0.02114958685621323,정상,False,False,0.5278583191670891
201214-circle-test1,normal,-1,0.38698426025784327,0.42539297821071587,0.03912818069996685,0.2979909235716294,정상,False,False,0.5278583191670891
201214-lte-real1,normal,45,0.03310547265743607,0.0882951454103883,0.005706818161473461,0.04696174540982818,정상,False,False,0.05576352263386098
201214-lte-real2,normal,45,0.03175565652217527,0.08067885600222569,0.006800976954237174,0.043838532443814,정상,False,False,0.05576352263386098
201214-poly-test1,normal,38,0.1932766591466859,0.29315865531668517,0.008463902203613443,0.17778563053176386,정상,False,False,0.21963312975657787
201214-survey-test1,normal,49,0.02447927720515274,0.14562683525336229,0.011636679175764369,0.06908552101562006,정상,False,True,0.0687632580007854
201216-online-test1,normal,-1,0.03332087181417321,0.03847638489040983,0.002977844265872388,0.026280168780177613,정상,False,False,0.5278583191670891
201221-Area-1,normal,45,0.03310212483295332,0.0882951454103883,0.005672230528812668,0.04695036477268512,정상,False,False,0.05576352263386098
201222-Area ID_02,normal,16,0.11738602401717711,0.2599110014210606,0.057735962733724874,0.15650099659369482,정상,False,False,0.19072697241898579
201222-asdf_01,normal,16,0.11732708069359105,0.2599110014210606,0.05768033699648638,0.1564666258754475,정상,False,False,0.19072697241898579
201222-mission-upload-test-survey,normal,-1,0.02696994791504839,0.11127504596812887,0.02505812696922178,0.060118440852532595,정상,False,False,0.5278583191670891
201229-waypoint-10,normal,44,0.024265365317635318,0.07717728758098907,0.014733093794011234,0.042570452765889596,정상,False,False,0.049982007987256924
201229-waypoint-163,normal,-1,0.02636827599413635,0.09434647712812672,0.021578349411767783,0.05212257847302193,정상,False,False,0.5278583191670891
201229-waypoint-500,normal,-1,0.02664622865853581,0.09434647712812672,0.022838310359846736,0.052583952556765456,정상,False,False,0.5278583191670891
20221215-MOUNT-EP20221215000,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221216-MOUNT-EP2022121600,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221220-MOUNT-EP2022122002,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221220-MOUNT-EP2022122003,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221221-MOUNT-EP2022122003,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP2022122003,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP2022122005,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP202212210,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP202212211,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP202212212,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221222-MOUNT-EP202212213,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221223-MOUNT-EP202212300,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221224-MOUNT-EP2022122003,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221224-null-EP2022122003,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221228-MOUNT-EP2022122800,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20221228-MOUNT-EP2022122801,normal,61,0.03230165985963099,0.011794395002290181,2.793604150617232e-14,0.01440825595881375,정상,False,False,0.01440825595881375
20230107-FARM-EC2022121201,normal,-1,0.019461659555930825,0.08164464283015616,0.020422847220366504,0.04462320916495167,정상,False,False,0.5278583191670891
20230107-MOUNT-EC2022121200,normal,-1,0.01852761822163368,0.08692921910905393,0.023405282311807715,0.04735155780365399,정상,False,False,0.5278583191670891
210101-WP-30,normal,45,0.023301972959593614,0.04379722274012643,0.012860948633511298,0.028367765573982046,정상,False,False,0.05576352263386098
210101-WP-903,normal,-1,0.025724464078250533,0.09295964519180233,0.021274017890475116,0.05128340266733863,정상,False,False,0.5278583191670891
210111-operationtest,normal,-1,0.04323255138267282,0.09712732740437979,0.00784045026166762,0.054172831455054055,정상,False,False,0.5278583191670891
