cluster,count,pct,score_mean,score_std,score_min,score_max,score_p95,threshold,n_detected
-1,501,25.05,0.13958040138744715,0.15404979784868839,0.007422813157944458,0.8765500850419865,0.5278583191670891,0.5278583191670891,25
0,23,1.15,0.5879023004255376,0.16208597336252611,0.45148079299432387,0.830854046551424,0.8304628670621517,0.8304628670621517,2
1,12,0.6,0.7611251448776891,0.019566849777867337,0.7407667744355299,0.7915965589614622,0.7915965589614622,0.7915965589614622,0
2,17,0.8500000000000001,0.7196300173344247,0.06974105960351837,0.659576228481782,0.842762423992146,0.8409754197636521,0.8409754197636521,1
3,47,2.35,0.34021066860188387,0.026445008456364914,0.30684105861081357,0.3886999531934232,0.38073573488612483,0.38073573488612483,3
4,42,2.1,0.1995437619875982,0.023430068054658287,0.16417579058643875,0.2424192874997219,0.23698386469276778,0.23698386469276778,3
5,13,0.65,0.6307712482048523,0.08385720718578937,0.527855174388729,0.7734275086629113,0.7673762124179849,0.7673762124179849,1
6,56,2.8000000000000003,0.2534970380698919,0.013681590308149673,0.23490851025097279,0.30068140938866644,0.2734235141549403,0.2734235141549403,3
7,22,1.0999999999999999,0.32564939698204126,0.025811371201117605,0.29961742301302274,0.38056203127435345,0.3772764971423207,0.3772764971423207,2
8,16,0.8,0.6758887453111437,0.03575137895145418,0.5958165974281734,0.7320304583236298,0.725324203953255,0.725324203953255,1
9,11,0.5499999999999999,0.25282389835674524,0.027287569918883738,0.19816906621810693,0.2952009273211893,0.28298136947695907,0.28298136947695907,1
10,10,0.5,0.1566863818082902,0.0028886480912215726,0.1521825623798369,0.16144734869766925,0.16090025465710242,0.16090025465710242,1
11,55,2.75,0.22604795118814225,0.034505957112775154,0.18891605293613567,0.34740021019910516,0.2908178966176796,0.2908178966176796,3
12,42,2.1,0.14586921681299986,0.010751717014074066,0.1329975645857184,0.18533030898826752,0.16587764979817562,0.16587764979817562,3
13,24,1.2,0.12170239112891117,0.006174636356928651,0.11172299655853546,0.1355334741465271,0.1302192574461135,0.1302192574461135,2
14,46,2.3,0.2638775807237613,0.03417419447015638,0.2403542234700035,0.39702956062702627,0.344489494552869,0.344489494552869,3
15,21,1.05,0.1365831194462267,0.014921894736755837,0.12505334542524668,0.17160346551194344,0.17048795496092528,0.17048795496092528,1
16,30,1.5,0.1776018852158991,0.009757353397414736,0.1564666258754475,0.19306485619682542,0.19072697241898579,0.19072697241898579,2
17,14,0.7000000000000001,0.3983495380731131,0.012642710585067407,0.38401342531276633,0.4299931917616029,0.4216038446488061,0.4216038446488061,1
18,10,0.5,0.3586075476667324,0.017699531802593094,0.3338564180420564,0.3994018564180649,0.38677461528010343,0.38677461528010343,1
19,10,0.5,0.19224471496199236,0.001777666191489353,0.1891280063974323,0.19538671348821152,0.1952937718207275,0.1952937718207275,1
20,15,0.75,0.10429550663229138,0.006959358724677635,0.09197071364529016,0.11120444781496149,0.11119792206164854,0.11119792206164854,1
21,11,0.5499999999999999,0.25399227743756697,0.0012788454999166415,0.25334220051014844,0.25765623081499434,0.2562304547769637,0.2562304547769637,1
22,24,1.2,0.13713725648867692,0.021408984688895558,0.09112446204462796,0.17566999146898726,0.17057783072764057,0.17057783072764057,2
23,24,1.2,0.23619715693687537,0.020522312841531973,0.21180995329938895,0.287029688160693,0.275126796425275,0.275126796425275,2
24,22,1.0999999999999999,0.2062708402049943,0.0049103516587165295,0.19755808922114365,0.21759492748389855,0.2165771298913403,0.2165771298913403,2
25,11,0.5499999999999999,0.08967220150714263,0.0058560896205446305,0.08370281005560089,0.10006848255461687,0.09856224129258984,0.09856224129258984,1
26,12,0.6,0.2223616784570648,0.0017077779035332959,0.22006511932188041,0.22703776727570582,0.22503968304538222,0.22503968304538222,1
27,23,1.15,0.08595505849196715,0.0035628066177289942,0.08297355127442109,0.10023871532046962,0.09092156280514951,0.09092156280514951,2
28,70,3.5000000000000004,0.07283404201381899,0.002875377653422775,0.06969879620903174,0.08136315768123792,0.07888829060550231,0.07888829060550231,3
29,18,0.8999999999999999,0.22222859514238513,0.0012571235451973599,0.21931533866271463,0.2266796190783814,0.22281455483666726,0.22281455483666726,1
30,20,1.0,0.20729629205758388,0.002627138480129321,0.2064205792308741,0.21517770749797183,0.21517770749797183,0.21517770749797183,0
31,43,2.15,0.05656071183395984,0.0010482233584066228,0.05576409482123105,0.060702678470985656,0.059084526808182145,0.059084526808182145,3
32,10,0.5,0.06746756753207202,0.0009135894270342938,0.06685715458418934,0.06886586714619686,0.06886578337528036,0.06886578337528036,1
33,31,1.55,0.17695672234142218,0.023871167946621398,0.14251784818734706,0.23234457019152277,0.22501580096700263,0.22501580096700263,2
34,26,1.3,0.1487948097928338,0.009929447857970612,0.12624894075141288,0.16782034701245468,0.16731527704023252,0.16731527704023252,2
35,35,1.7500000000000002,0.07934337542243285,0.004590203444274521,0.07156657209474827,0.09487854552957407,0.08777633538753682,0.08777633538753682,2
36,54,2.7,0.05186450235224266,0.0010315231272924649,0.049773809242177364,0.05660890305707053,0.05413857239811326,0.05413857239811326,3
37,15,0.75,0.05371130209675738,0.000645179242226294,0.05283724200849459,0.05601790420353188,0.05434635492528279,0.05434635492528279,1
38,19,0.95,0.1914610516436459,0.019789357928443795,0.16263963643055174,0.22332827801979901,0.21963312975657787,0.21963312975657787,1
39,11,0.5499999999999999,0.1631014761200564,0.004988650805687902,0.15642827609879767,0.17019715192984278,0.16924721552549749,0.16924721552549749,1
40,16,0.8,0.06432607360783314,0.00920576819941678,0.05089737357655584,0.07890323267768352,0.07669990823873905,0.07669990823873905,1
41,32,1.6,0.11850443337063549,0.02512161231819405,0.08275456679192905,0.18544856448787853,0.15932903695696155,0.15932903695696155,2
42,16,0.8,0.0682123111350923,0.006015029265719556,0.06052766591196678,0.08357779520182536,0.08197264133081436,0.08197264133081436,1
43,10,0.5,0.08137308205069035,0.008129654482539838,0.06976270008946885,0.09729800923401057,0.09397234380220368,0.09397234380220368,1
44,10,0.5,0.04572152987528227,0.002830427309620886,0.04242374986484025,0.05014986940543057,0.049982007987256924,0.049982007987256924,1
45,13,0.65,0.046674358586372304,0.008117773936777381,0.028367765573982046,0.05703227162130649,0.05576352263386098,0.05576352263386098,1
46,11,0.5499999999999999,0.07970653475208675,0.002060316463907652,0.07554619438054348,0.0843320494922532,0.08274788532967814,0.08274788532967814,1
47,13,0.65,0.08517517212014661,0.006267208361743492,0.07474424321309765,0.09766463287677897,0.09383683047680158,0.09383683047680158,1
48,12,0.6,0.0581925014153836,0.010391614149928083,0.04304474035252605,0.07771224295842884,0.07366833152294659,0.07366833152294659,1
49,31,1.55,0.05213035960387181,0.01085266664022427,0.03128940105475743,0.07032850569286607,0.0687632580007854,0.0687632580007854,2
50,25,1.25,0.052596946222761384,0.007046529886406567,0.0410202555423522,0.06885628624024993,0.0621770438620271,0.0621770438620271,2
51,28,1.4000000000000001,0.01621565911746764,0.0016270971953998865,0.015350515928855986,0.024238361150823454,0.016887711713928853,0.016887711713928853,2
52,15,0.75,0.015567242388995931,0.0020707026018550994,0.011338181558569919,0.02132923069726566,0.018391862765559177,0.018391862765559177,1
53,10,0.5,0.07008684744019936,0.005652396030931783,0.05876487664140666,0.07671607935679729,0.07671015138404037,0.07671015138404037,1
54,75,3.75,0.04945972237466955,0.007792470555451443,0.03574284164634024,0.06777922332997953,0.06320404072210825,0.06320404072210825,4
55,16,0.8,0.056233278498773256,0.0097489998232295,0.04216993902348645,0.07385105889968646,0.07068634232063568,0.07068634232063568,1
56,33,1.6500000000000001,0.024310343912826726,0.004889440354392018,0.014168649493940127,0.03610667628080645,0.03162751696622382,0.03162751696622382,2
57,12,0.6,0.05690525574034594,0.007667188807462461,0.042641182095959754,0.06555657846193484,0.06492033558373449,0.06492033558373449,1
58,21,1.05,0.01207776242532358,0.003628275307690614,0.006090106355581346,0.018160066174342092,0.017575509901299996,0.017575509901299996,1
59,14,0.7000000000000001,0.01809366834299328,0.0035313104319461587,0.013322374689399502,0.02245505641859454,0.022023177799737927,0.022023177799737927,1
60,18,0.8999999999999999,0.014707096205613897,0.002278677602730828,0.012156621145224939,0.020492510457490322,0.018847354988590116,0.018847354988590116,1
61,16,0.8,0.01440825595881375,0.0,0.01440825595881375,0.01440825595881375,0.01440825595881375,0.01440825595881375,0
62,37,1.8499999999999999,0.019172758412582248,0.004060721783964028,0.013767607685212862,0.027260181302173957,0.0270331192695053,0.0270331192695053,2
