route_id,type,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,detected
210409-Eoseom4,normal_test,0.2659145233323013,0.43353042951973564,0.2918121082943813,0.340730161295899,주의,False
210425-ani5,normal_test,0.20629825288508255,0.39279875235073913,0.16954761836301932,0.26987326231472625,정상,False
210407-songdo_D,normal_test,0.2986350472507518,0.4194170470722757,0.2844604149901971,0.34269545750119496,주의,False
210409-Eoseom3_1,normal_test,0.1724269492991147,0.3763242768727887,0.16419842384983152,0.25151732269379934,정상,False
201213-demo-vehicle2,normal_test,0.19803311601840842,0.3334576625020761,0.24060814854894674,0.264975444371037,정상,False
210216-M210DVST2,normal_test,0.12576490698651765,0.1472362942965052,0.11329128412698047,0.13061137505265152,정상,False
210225-Phantom_001,normal_test,0.13472062034188848,0.07884530682992796,0.08043381290807977,0.09608445270696166,정상,False
210409-Eoseom4_1,normal_test,0.23837967214741115,0.37376322213209,0.25404601243499847,0.2972329942275589,정상,False
210209-phanton2,normal_test,0.13370717038542126,0.18731639931780875,0.12288667289705305,0.15190471271186579,정상,False
210425-ani6,normal_test,0.12104720669841021,0.22176759878257823,0.1077105148041916,0.15733435596381184,정상,False
210425-ani7,normal_test,0.16310644500528795,0.21751759551832728,0.15005911226096463,0.1809567053872067,정상,False
210312-Taean2,normal_test,0.07604902957644612,0.16398951724772515,0.09293917965539457,0.11629226966864227,정상,False
210328-circlet_3km_way64,normal_test,0.2787529814636349,0.6429183837348557,0.4338818203265629,0.4709577940310016,주의,False
210409-Eoseom3_3,normal_test,0.06502961854432454,0.0,0.055632059454719274,0.036198503399713144,정상,False
210409-E_T_02,normal_test,0.0479128303487719,0.042186393341716366,0.07526671175629411,0.05382841996820635,정상,False
200612-DNA-SWARM-5,normal_test,0.25550578365428445,0.4475847714477136,0.2694450366532005,0.3365191546713309,주의,False
210225-LTE_001,normal_test,0.08106015361385238,0.0948820053018391,0.08952036639932845,0.08912695812468989,정상,False
20221222-MOUNT-EP202212213,normal_test,0.21501494596252957,0.22203311108765333,0.1229130312408145,0.19019163759606456,정상,False
200610-dna-serial8,normal_test,0.09592207154657946,0.10601987655958722,0.131578340420475,0.11065807421395124,정상,False
210409-eoseom1,normal_test,0.10748255320031602,0.270655463444998,0.10213420280938407,0.17114721218090923,정상,False
20221222-MOUNT-EP202212212,normal_test,0.1287695195908446,0.1599943162249855,0.08299100102858807,0.12752588267582401,정상,False
200612-DNA-SWARM-7,normal_test,0.21620032212634357,0.3941659903356527,0.22465778119788707,0.2899238271315303,정상,False
20221220-MOUNT-EP2022122002,normal_test,0.15926612814551946,0.20955061051407153,0.10476173015184402,0.16302860169483768,정상,False
210407-songdo_D_C_2,normal_test,0.24118044872489375,0.7425722964330133,0.3808138390994458,0.48362720492050715,주의,False
210312-Taean,normal_test,0.13850202150845287,0.20685790948473748,0.12217563354419883,0.1609464603096905,정상,False
