route_id,type,hdbscan_cluster,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,detected_global,detected_per_cluster,cluster_threshold
200607-AT3,normal,6,0.12129894069085743,0.24063220901528393,0.011228195547596917,0.13601102447764987,정상,False,False,0.16973038191331263
200607-AT4,normal,-1,0.3365746992262853,0.2619120554774532,0.21406278217426095,0.2699560666111452,정상,False,False,0.7931183589436489
200610-dna-midd,normal,6,0.13731614324594735,0.13383932562187106,0.005433203564701445,0.09636053429194306,정상,False,False,0.16973038191331263
200610-dna-serial1,normal,-1,0.26423418281721717,0.17640642361512593,0.13380947883553276,0.18997566794187537,정상,False,False,0.7931183589436489
200610-dna-serial7,normal,6,0.1402262041442397,0.12360173256598406,0.005677372365596993,0.09321176597934464,정상,False,False,0.16973038191331263
200610-dna-serial8,normal,-1,0.13820263568104943,0.08591502316583477,0.13299388638723011,0.11572496588681777,정상,False,False,0.7931183589436489
200610-dna-serial9,normal,-1,0.34928633537945203,0.26423344302874363,0.15079766728004934,0.2557185780093479,정상,False,False,0.7931183589436489
200612-DNA-SWARM-1,normal,-1,0.12254654757019573,0.21325160681320188,0.24109298383593336,0.19439250214711948,정상,False,False,0.7931183589436489
200612-DNA-SWARM-10,normal,-1,0.6553848712510985,0.5698721694101576,0.41174900718477586,0.5480890312948253,이상,False,False,0.7931183589436489
200612-DNA-SWARM-2,normal,-1,0.4132783739500305,0.6258565139478591,0.317664465434387,0.4696254573944689,주의,False,False,0.7931183589436489
200612-DNA-SWARM-3,normal,-1,0.32698820903248277,0.4575685384726085,0.357340278808958,0.38832596174147566,주의,False,False,0.7931183589436489
200612-DNA-SWARM-4,normal,-1,0.5874133811156744,0.5542802327344036,0.43159486032121747,0.527414565524829,이상,False,False,0.7931183589436489
200612-DNA-SWARM-5,normal,-1,0.5605365773230653,0.5731220413914603,0.3447579817418911,0.500837184276071,이상,False,False,0.7931183589436489
200612-DNA-SWARM-6,normal,-1,0.3421915468664377,0.4422332646790632,0.27927280938386145,0.363332612746715,주의,False,False,0.7931183589436489
200612-DNA-SWARM-7,normal,-1,0.29925425107088516,0.42723124430058734,0.29822847905507904,0.3501373167580242,주의,False,False,0.7931183589436489
200612-DNA-SWARM-8,normal,-1,0.3001982710155871,0.41659807211264455,0.3101319237006986,0.3497382872599435,주의,False,False,0.7931183589436489
200612-DNA-SWARM-9,normal,-1,0.4721110780704735,0.5466225100791163,0.311949584738447,0.4538672028743227,주의,False,False,0.7931183589436489
200612-DNA-SWARMLg,normal,-1,0.3915116656333939,0.20532143863135466,0.05969000127887547,0.21748907552622268,정상,False,False,0.7931183589436489
200614-seung_test,normal,-1,0.18548019708961735,0.2203938753539716,0.27608952662643654,0.22662846725640481,정상,False,False,0.7931183589436489
200615-doosan,normal,-1,0.47123651741267303,0.32671178435004566,0.18590887997478348,0.3278283329562552,주의,False,False,0.7931183589436489
200615-doosan_test,normal,-1,0.3285731049902085,0.153939199127491,0.14393855817611104,0.20332917860089225,정상,False,False,0.7931183589436489
200616-doosantest1,normal,-1,0.27815559335150103,0.23058047425318318,0.13744290301828455,0.21691173861220894,정상,False,False,0.7931183589436489
200628-ye-a,normal,-1,0.295375200001376,0.31820839970572223,0.2719022978052643,0.297466609224281,정상,False,False,0.7931183589436489
200628-ye-b,normal,-1,0.2904780597433464,0.3221355046970774,0.23279159146405326,0.2858350972410509,정상,False,False,0.7931183589436489
200628-ye-c,normal,-1,0.46478259831735635,0.6639743498656998,0.4955092048797387,0.5536772809054085,이상,False,False,0.7931183589436489
200628-ye-d,normal,-1,0.5020449557960588,0.7202183609337636,0.6693511684251431,0.639506181639866,이상,False,False,0.7931183589436489
200628-ye-e,normal,-1,0.7257751200319821,0.7865140678116436,0.8359665437807962,0.7831281262684909,심각,True,False,0.7931183589436489
200702-sd-circle,normal,-1,0.42631150441449106,0.5485694452857011,0.5145301600042803,0.5016802774399118,이상,False,False,0.7931183589436489
200702-sd-circle2,normal,-1,0.22250370749332243,0.3247145623296315,0.33786333651601946,0.29799593813465514,정상,False,False,0.7931183589436489
200702-yed-grid,normal,-1,0.7607505532573807,0.7058024480195024,0.5170886855186725,0.665672750840617,이상,False,False,0.7931183589436489
200703-sd-grid,normal,-1,0.8472773213218793,0.8710747217660302,0.7526091918458737,0.8283958426567379,심각,True,True,0.7931183589436489
201104-lte-test1,normal,8,0.08767958905787063,0.08349148159633057,0.010238049615285315,0.06277188424047901,정상,False,False,0.14932936830283752
201104-lte-test2,normal,-1,0.5567341434104551,0.3815464573537567,0.10778011349297155,0.3519728600125307,주의,False,False,0.7931183589436489
201104-survey-1,normal,-1,0.3060222158906639,0.16378256424313986,0.1552156124907494,0.20388437421167993,정상,False,False,0.7931183589436489
201105-LTE-mission-1,normal,6,0.10598283219507626,0.062108686694622994,0.004227325888515484,0.05790652210292672,정상,False,False,0.16973038191331263
201109-dmi-bears-test1,normal,9,0.253910405042316,0.21973744624632274,0.035603119202985964,0.1747490357721197,정상,False,False,0.25308432567788147
201109-dmi-bears-test2,normal,8,0.042312698701434795,0.010217953845449879,0.008960137676329692,0.019469032451509296,정상,False,False,0.14932936830283752
201109-dmi-bears-test3,normal,-1,0.2505954672669861,0.14702005945016294,0.08302583812780846,0.15889441539850355,정상,False,False,0.7931183589436489
201110-DROW-test1,normal,8,0.07636666312043353,0.14749367978850525,0.01969175413365276,0.08781499709162799,정상,False,False,0.14932936830283752
201111-clrobur-survey-test,normal,-1,0.1295696238273125,0.033029687139641495,0.10328205680685897,0.08306737904610803,정상,False,False,0.7931183589436489
201122-timetest1,normal,8,0.047914414892940405,0.11363422893669817,0.011873721042271223,0.06339013235524275,정상,False,False,0.14932936830283752
201209-LTE-real-waypoint1,normal,8,0.15202687250108418,0.156958222892563,0.015342824028078055,0.11299419811577387,정상,False,False,0.14932936830283752
201211-LTE-real-waypoint1,normal,6,0.18788131405930628,0.3160886751416001,0.015465749912694376,0.18743958924824025,정상,False,True,0.16973038191331263
201211-LTE-real-waypoint2,normal,6,0.13570945920820196,0.16038950527749474,0.004855774542570086,0.10632537223622951,정상,False,False,0.16973038191331263
201213-demo-vehicle1,normal,-1,0.37536148972079086,0.26791604436441974,0.13098693853699442,0.2590709462231035,정상,False,False,0.7931183589436489
201213-demo-vehicle2,normal,-1,0.21621176058632366,0.30768238718989893,0.2534266381716885,0.26396447450336324,정상,False,False,0.7931183589436489
201213-demo-vehicle3,normal,-1,0.23151720327498673,0.19678292222837213,0.10535325140614074,0.1797743052956871,정상,False,False,0.7931183589436489
201214-circle-test1,normal,-1,0.6538801340679109,0.9135670817700944,0.6611772645300804,0.7599440522874351,심각,True,False,0.7931183589436489
201214-lte-real1,normal,8,0.05536076559400047,0.10250390674830301,0.011521344123147545,0.06106619561446561,정상,False,False,0.14932936830283752
201214-lte-real2,normal,6,0.09741309237007366,0.13430508842939148,0.005133253251026137,0.08448593905808655,정상,False,False,0.16973038191331263
201214-poly-test1,normal,-1,0.45200896263949975,0.27613942505221645,0.07046793339972379,0.2671988388326536,정상,False,False,0.7931183589436489
201214-survey-test1,normal,-1,0.3762984280518428,0.4679658432631921,0.30227752820801784,0.3907591241832351,주의,False,False,0.7931183589436489
201216-online-test1,normal,-1,0.21007140089420998,0.1933037613189622,0.10090161923327944,0.1706134105658317,정상,False,False,0.7931183589436489
201221-Area-1,normal,8,0.15030163694932647,0.20081962198178704,0.028409188259089183,0.13394109635523951,정상,False,False,0.14932936830283752
201222-Area ID_02,normal,8,0.1532706738509385,0.16461120819277741,0.02630457883931188,0.11971705908418609,정상,False,False,0.14932936830283752
201222-asdf_01,normal,8,0.2452812267811922,0.24634141776346385,0.0481888259475173,0.1865775829239984,정상,False,True,0.14932936830283752
201222-mission-upload-test-survey,normal,-1,0.5854341006620792,0.7304652789596565,0.7878280874737147,0.7041647680246007,심각,True,False,0.7931183589436489
201229-waypoint-10,normal,3,0.16728016465237683,0.11903938194116981,0.06526367983543058,0.11737890612281016,정상,False,False,0.14560981214036464
201229-waypoint-163,normal,-1,0.93402855666507,0.7451129754405826,0.7940331258886043,0.8164636949423353,심각,True,True,0.7931183589436489
201229-waypoint-500,normal,-1,1.0,0.9440020003035389,1.0,0.9776008001214156,심각,True,True,0.7931183589436489
20221215-MOUNT-EP20221215000,normal,3,0.14230419685312912,0.1008954649912599,0.07603335592602611,0.10585945183025053,정상,False,False,0.14560981214036464
20221216-MOUNT-EP2022121600,normal,-1,0.19001409980581144,0.21391042432090135,0.09470848884973215,0.17098094632502364,정상,False,False,0.7931183589436489
20221220-MOUNT-EP2022122002,normal,3,0.10296177094024037,0.03220494998144374,0.05656933821700654,0.06074131273975157,정상,False,False,0.14560981214036464
20221220-MOUNT-EP2022122003,normal,-1,0.13832799037743007,0.08979508227828714,0.09464328002915867,0.10580941403329147,정상,False,False,0.7931183589436489
20221221-MOUNT-EP2022122003,normal,3,0.15165029003281785,0.18064795809018086,0.0642675922860941,0.13703454793174594,정상,False,False,0.14560981214036464
20221222-MOUNT-EP2022122003,normal,-1,0.14320800553596216,0.10179290880983616,0.11470194887069708,0.11809014984593223,정상,False,False,0.7931183589436489
20221222-MOUNT-EP2022122005,normal,-1,0.18092047790138735,0.1800243469363284,0.10319326381321589,0.15724386128891232,정상,False,False,0.7931183589436489
20221222-MOUNT-EP202212210,normal,3,0.11005659823187836,0.13278541803698063,0.0646744623769373,0.10553348539743695,정상,False,False,0.14560981214036464
20221222-MOUNT-EP202212211,normal,-1,0.24886739003881198,0.2830698592319236,0.14188169234044823,0.23045266840654752,정상,False,False,0.7931183589436489
20221222-MOUNT-EP202212212,normal,3,0.15582611866114024,0.18648340516058493,0.06810382603933966,0.14177234547437795,정상,False,False,0.14560981214036464
20221222-MOUNT-EP202212213,normal,-1,0.16105761884508923,0.07212966680923916,0.07556780700642944,0.09983949447915128,정상,False,False,0.7931183589436489
