cluster,count,pct,score_mean,score_max,dominant_type,type_distribution,n_prox_edges_avg,n_cov_edges_avg
Noise,4,0.8,0.884,0.974,coverage_overlap,"{'coverage_overlap': np.int64(3), 'collision_risk': np.int64(1)}",2022,136
C0,172,34.4,0.209,0.536,coverage_overlap,"{'coverage_overlap': np.int64(117), 'collision_risk': np.int64(49), 'relay_move': np.int64(5), 'cooperative_search': np.int64(1)}",2977,394
C1,95,19.0,0.218,0.399,collision_risk,"{'collision_risk': np.int64(65), 'relay_move': np.int64(21), 'coverage_overlap': np.int64(5), 'cooperative_search': np.int64(4)}",512,0
C2,229,45.8,0.079,0.225,cooperative_search,"{'cooperative_search': np.int64(120), 'relay_move': np.int64(99), 'collision_risk': np.int64(10)}",0,0
